;Title;Producer;Brand;Vintage;Wine Type;Colour;Country;Region;Appellation;Sweetness;Closure;Alcohol;Body;Oak;Grapes
79;Vinícola del Priorat, Mas dels Frares, Priorat, 2021;Vinícola del Priorat;Mas dels Frares;2021;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;14.00%;Full;;['Grenache / Garnacha', 'Carignan / Cariñena']
80;Ferrer Bobet, Selecció Especial, Priorat, Catalonia, 2018;Ferrer Bobet;Selecció Especial;2018;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;14.50%;Full;;['Carignan / Cariñena']
81;Celler Vall Llach, Mas de la Rosa, Priorat, Catalonia, 2021;Celler Vall Llach;Mas de la Rosa;2021;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;15.00%;Full;;['Grenache / Garnacha']
82;Clos Mogador, Vinya Classificada, Gratallops, Priorat 2020;Clos Mogador;Vinya Classificada;2020;Still;Red;Spain;Catalonia;Gratallops;Dry;Cork;15.00%;Full;;['Grenache / Garnacha', 'Carignan / Cariñena']
83;Clos Pachem, Pachem, Priorat, Catalonia, Spain, 2019;Clos Pachem;Pachem;2019;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;14.00%;Full;;['Grenache / Garnacha']
84;Celler l’Encastell, Roquers de Porrera, Priorat, 2016;Celler l’Encastell;Roquers de Porrera;2016;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;14.50%;Full;;['Grenache / Garnacha', 'Syrah / Shiraz', 'Carignan / Cariñena']
85;Alícia i Josep Viticultors, Tentiber, Priorat, 2018;Alícia i Josep Viticultors;Tentiber;2018;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;14.50%;Full;;['Cabernet Sauvignon', 'Grenache / Garnacha', 'Carignan / Cariñena']
86;Sangenís i Vaqué, Lo Bancal de Garnatxa, Priorat, 2021;Sangenís i Vaqué;Lo Bancal de Garnatxa;2021;Still;Red;Spain;;;;;;;;
87;Cal Grau, Les Ones, Priorat, Catalonia, Spain, 2019;Cal Grau;Les Ones;2019;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;15.50%;Full;;['Carignan / Cariñena']
88;Mas Doix, Les Crestes, Priorat, Catalonia, Spain, 2021;Mas Doix;Les Crestes;2021;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;14.50%;Full;;['Grenache / Garnacha', 'Syrah / Shiraz', 'Carignan / Cariñena']
89;Álvaro Palacios, Vi de Vila Gratallops, Priorat, 2020;Álvaro Palacios;Vi de Vila Gratallops;2020;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;14.50%;Full;;['Grenache / Garnacha']
90;Saó del Coster, La Pujada, Priorat, Catalonia, Spain, 2015;Saó del Coster;La Pujada;2015;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;14.50%;Full;;['Carignan / Cariñena']
91;Sandra Doix Celler, MarLa Vi de Paratge Les Salanques, Priorat 2019;Sandra Doix Celler;MarLa Vi de Paratge Les Salanques;2019;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;14.50%;Full;;['Carignan / Cariñena']
92;Casa Gran Del Siurana, Gran Cruor Selecció Caranyena, Priorat 2014;Casa Gran Del Siurana;Gran Cruor Selecció Caranyena;2014;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;15.00%;Full;;['Carignan / Cariñena']
93;La Conreria d'Scala Dei, Escaladei Vi de Vila, Priorat, 2017;La Conreria d'Scala Dei;Escaladei Vi de Vila;2017;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;15.00%;Full;;['Grenache / Garnacha', 'Carignan / Cariñena']
